min_salary,max_salary,vacany,description,min_expense,max_expense
64137,73758,1,Data Processing & Outsourced Services,64137.0,73759.0
35895,41279,1,Human Resource & Employment Services,35895.0,41280.0
74041,85147,1,Construction & Engineering,74041.0,85148.0
71726,71726,2,Research & Consulting Services,143452.0,71728.0
74041,85147,2,Construction & Engineering,148082.0,85149.0
82506,82506,3,Research & Consulting Services,247518.0,82509.0
118480,118480,1,Research & Consulting Services,118480.0,118481.0
63952,93960,1,Research & Consulting Services,63952.0,93961.0
88026,101230,1,Research & Consulting Services,88026.0,101231.0
80931,208826,1,Construction & Engineering,80931.0,208827.0
72038,192152,1,Research & Consulting Services,72038.0,192153.0
80000,80000,1,Research & Consulting Services,80000.0,80001.0
58682,134570,1,Research & Consulting Services,58682.0,134571.0
59116,67983,1,Research & Consulting Services,59116.0,67984.0
98470,133496,1,Research & Consulting Services,98470.0,133497.0
92194,130372,1,IT Consulting & Other Services,92194.0,130373.0
43728,68645,1,Research & Consulting Services,43728.0,68646.0
58851,84257,1,Research & Consulting Services,58851.0,84258.0
80440,167610,5,Research & Consulting Services,402200.0,167615.0
97012,97012,2,Health Care Services,194024.0,97014.0
40225,40225,2,Diversified Support Services,80450.0,40227.0
55699,90008,1,Research & Consulting Services,55699.0,90009.0
68262,87426,1,Data Processing & Outsourced Services,68262.0,87427.0
72000,79500,1,Research & Consulting Services,72000.0,79501.0
41033,60017,12,Gold,492396.0,60029.0
53000,53000,1,Diversified Support Services,53000.0,53001.0
62370,93587,4,Construction & Engineering,249480.0,93591.0
64296,100000,1,Research & Consulting Services,64296.0,100001.0
51816,75903,1,Research & Consulting Services,51816.0,75904.0
80365,104909,3,Health Care Services,241095.0,104912.0
60010,100875,1,Research & Consulting Services,60010.0,100876.0
55150,58508,1,Research & Consulting Services,55150.0,58509.0
65605,80000,2,Research & Consulting Services,131210.0,80002.0
81571,119554,1,Research & Consulting Services,81571.0,119555.0
70011,173486,1,Construction & Engineering,70011.0,173487.0
60889,70022,1,Research & Consulting Services,60889.0,70023.0
56313,64760,2,Research & Consulting Services,112626.0,64762.0
47386,62874,2,Health Care Services,94772.0,62876.0
58682,159671,1,Research & Consulting Services,58682.0,159672.0
59116,71195,1,Health Care Services,59116.0,71196.0
40957,47100,1,Health Care Technology,40957.0,47101.0
41887,48170,1,Research & Consulting Services,41887.0,48171.0
94715,94715,1,Research & Consulting Services,94715.0,94716.0
36.95,36.95,1,Diversified Support Services,36.95,37.95
74041,107227,1,Research & Consulting Services,74041.0,107228.0
59116,91768,1,Research & Consulting Services,59116.0,91769.0
59116,67983,5,Research & Consulting Services,295580.0,67988.0
105746,150000,1,Research & Consulting Services,105746.0,150001.0
