Player,Nation,Pos,Squad,Age,URL
Giovanni Di Lorenzo,ITA,DF,Napoli,29,https://www.wikidata.org/wiki/Q14831282
Elif Elmas,MKD,FWMF,Napoli,23,https://www.wikidata.org/wiki/Q25409292
Ross Barkley,ENG,FWMF,Nice,29,https://www.wikidata.org/wiki/Q326240
Youcef Atal,ALG,DFMF,Nice,26,https://www.wikidata.org/wiki/Q30349597
Melvin Bard,FRA,DF,Nice,22,https://www.wikidata.org/wiki/Q55865078
Darko Braanac,SRB,MF,Osasuna,31,https://www.wikidata.org/wiki/Q698109
Kike Barja,ESP,FWMF,Osasuna,25,https://www.wikidata.org/wiki/Q32236556
Ezequiel Ávila,ARG,FWMF,Osasuna,29,https://www.wikidata.org/wiki/Q19949691
Janis Blaswich,GER,GK,RB Leipzig,31,https://www.wikidata.org/wiki/Q20435757
Sanoussy Ba,GER,DF,RB Leipzig,19,https://en.wikipedia.org/wiki/Sanoussy_Ba
Abdou Diallo,SEN,DFMF,RB Leipzig,26,https://www.wikidata.org/wiki/Q18685713
Karim Benzema,FRA,FW,Real Madrid,35,https://www.wikidata.org/wiki/Q1912
David Alaba,AUT,DF,Real Madrid,30,https://www.wikidata.org/wiki/Q31981
Marco Asensio,ESP,FWMF,Real Madrid,27,https://www.wikidata.org/wiki/Q16148978
Ander Barrenetxea,ESP,FWDF,Real Sociedad,21,https://www.wikidata.org/wiki/Q59823403
Mohamed Ali Cho,FRA,FW,Real Sociedad,19,https://www.wikidata.org/wiki/Q98777530
Aritz Elustondo,ESP,DF,Real Sociedad,28,https://www.wikidata.org/wiki/Q16516257
Martin Adeline,FRA,MFFW,Reims,19,https://en.wikipedia.org/wiki/Martin_Adeline
Yunis Abdelhamid,MAR,DF,Reims,35,https://www.wikidata.org/wiki/Q3573237
Emmanuel Agbadou,CIV,DF,Reims,25,https://www.wikidata.org/wiki/Q69523791
Matthis Abline,FRA,FWMF,Rennes,19,https://www.wikidata.org/wiki/Q106621865
Lorenz Assignon,TOG,DF,Rennes,22,https://www.wikidata.org/wiki/Q108199499
Doðan Alemdar,TUR,GK,Rennes,20,https://translate.google.com/translate?u=https://en.wikipedia.org/wiki/Do%25C4%259Fan_Alemdar&hl=vi&sl=en&tl=vi&client=srp&prev=search
Tammy Abraham,ENG,FW,Roma,25,https://www.wikidata.org/wiki/Q24050378
Edoardo Bove,ITA,MF,Roma,20,https://www.wikidata.org/wiki/Q106775510
Andrea Belotti,ITA,FW,Roma,29,https://www.wikidata.org/wiki/Q4754963
Emil Audero,ITA,GK,Sampdoria,26,https://www.wikidata.org/wiki/Q17410409
Tommaso Augello,ITA,DF,Sampdoria,28,https://en.wikipedia.org/wiki/Tommaso_Augello
Bruno Amione,ARG,DF,Sampdoria,21,https://en.wikipedia.org/wiki/Bruno_Amione
Kaan Ayhan,TUR,DF,Sassuolo,28,https://www.wikidata.org/wiki/Q3191617
Janis Antiste,FRA,FW,Sassuolo,20,https://www.wikidata.org/wiki/Q84571690
Agustín Álvarez Martínez,URU,FWMF,Sassuolo,21,https://www.wikidata.org/wiki/Q99390386
Éder Álvarez Balanta,COL,MF,Schalke 04,29,https://www.wikidata.org/wiki/Q6174184
Mehmet-Can Aydin,GER,DF,Schalke 04,21,https://www.wikidata.org/wiki/Q106352999
Cédric Brunner,SUI,DF,Schalke 04,28,https://en.wikipedia.org/wiki/C%C3%A9dric_Brunner
Loïc Bade,FRA,DF,Sevilla,22,https://www.wikidata.org/wiki/Q81741599
Carlos Álvarez,ESP,FW,Sevilla,19,https://www.wikidata.org/wiki/Q10555413
Marcos Acuña,ARG,DF,Sevilla,31,https://www.wikidata.org/wiki/Q17462635
Joe Aribo,NGA,MFFW,Southampton,26,https://www.wikidata.org/wiki/Q27469960
Che Adams,SCO,FW,Southampton,26,https://www.wikidata.org/wiki/Q18683792
Carlos Alcaraz,ARG,MF,Southampton,20,https://www.wikidata.org/wiki/Q88130791
Kevin Agudelo,COL,MFFW,Spezia,24,https://en.wikipedia.org/wiki/Kevin_Agudelo
Ethan Ampadu,WAL,DFMF,Spezia,22,https://www.wikidata.org/wiki/Q26250324
Kelvin Amian,FRA,DF,Spezia,25,https://www.wikidata.org/wiki/Q26405176
Jean-Eudes Aholou,CIV,MF,Strasbourg,28,https://en.wikipedia.org/wiki/Jean-Eudes_Aholou
Ludovic Ajorque,FRA,FW,Strasbourg,28,https://www.wikidata.org/wiki/Q27671219
Jean-Ricner Bellegarde,FRA,MF,Strasbourg,24,https://www.wikidata.org/wiki/Q26251607
Brian Bayeye,FRA,DF,Torino,22,https://en.wikipedia.org/wiki/Brian_Bayeye
Alessandro Buongiorno,ITA,DF,Torino,23,https://www.wikidata.org/wiki/Q51389133
Ola Aina,NGA,DF,Torino,26,https://www.wikidata.org/wiki/Q20730338
Yves Bissouma,MLI,MF,Tottenham,26,https://www.wikidata.org/wiki/Q22683033
Bryan,ESP,MFFW,Tottenham,22,https://www.wikidata.org/wiki/Q49561427
Rodrigo Bentancur,URU,MF,Tottenham,25,https://www.wikidata.org/wiki/Q18817134
Rodrigo Becão,BRA,DF,Udinese,27,https://www.wikidata.org/wiki/Q55655668
Beto,GNB,FW,Udinese,25,https://www.wikidata.org/wiki/Q313955
Tolgay Arslan,GER,MF,Udinese,32,https://www.wikidata.org/wiki/Q335413
Sheraldo Becker,SUR,FW,Union Berlin,28,https://www.wikidata.org/wiki/Q16069260
Kevin Behrens,GER,FW,Union Berlin,32,https://www.wikidata.org/wiki/Q56065664
Timo Baumgartl,GER,DF,Union Berlin,26,https://en.wikipedia.org/wiki/Timo_Baumgartl
Domingos André Ribeiro Almeida,POR,MF,Valencia,22,https://www.wikidata.org/wiki/Q26704452
Edinson Cavani,URU,FW,Valencia,35,https://www.wikidata.org/wiki/Q167790
Samu Castillejo,ESP,FW,Valencia,28,https://www.wikidata.org/wiki/Q17708755
Raúl Albiol,ESP,DF,Villarreal,37,https://www.wikidata.org/wiki/Q4599
Alex Baena,ESP,MFFW,Villarreal,21,https://www.wikidata.org/wiki/Q97404267
Étienne Capoue,FRA,MF,Villarreal,34,https://www.wikidata.org/wiki/Q60595
Leonardo Bittencourt,GER,MFDF,Werder Bremen,29,https://www.wikidata.org/wiki/Q687140
Lee Buchanan,ENG,DFFW,Werder Bremen,21,https://en.wikipedia.org/wiki/Lee_Buchanan_(footballer)
Felix Agu,GER,DFFW,Werder Bremen,23,https://arz.wikipedia.org/wiki/d:Q52357690
Alphonse Areola,FRA,GK,West Ham,29,https://www.wikidata.org/wiki/Q2839693
Nayef Aguerd,MAR,DF,West Ham,26,https://www.wikidata.org/wiki/Q28872567
Michail Antonio,JAM,FW,West Ham,32,https://www.wikidata.org/wiki/Q1966430
Maximilian Arnold,GER,MF,Wolfsburg,28,https://www.wikidata.org/wiki/Q1093851
Ridle Baku,GER,DF,Wolfsburg,24,https://en.wikipedia.org/wiki/Ridle_Baku
Sebastiaan Bornauw,BEL,DF,Wolfsburg,23,https://www.wikidata.org/wiki/Q55806994
