Team,Tournament,Goals,Shots pg,yellow_cards,red_cards,Possession%,Pass%,AerialsWon,Rating,URL,Homepage
Bordeaux,Ligue 1,42,11.1,74,4,50.2,83.3,15.4,6.59,https://www.wikidata.org/wiki/Q172476,https://www.girondins.com/
Hertha Berlin,Bundesliga,41,11.3,63,3,49.8,79.5,15.8,6.58,https://www.wikidata.org/wiki/Q102720,https://www.herthabsc.com/en
Cagliari,Serie A,43,11.4,73,3,45.8,79.8,17.2,6.58,https://www.wikidata.org/wiki/Q1900,https://cagliaricalcio.com/en/
Mainz 05,Bundesliga,39,11.1,61,1,42.7,71.3,18.3,6.57,https://www.wikidata.org/wiki/Q105254,https://www.mainz05.de/en
Bologna,Serie A,51,13.1,78,4,50.7,81.5,15.1,6.56,https://www.wikidata.org/wiki/Q1893,https://www.bolognafc.it/en/home/
Augsburg,Bundesliga,36,9.9,65,4,44,73.6,16.8,6.56,https://www.wikidata.org/wiki/Q15755,https://www.fcaugsburg.de/en/
Udinese,Serie A,42,10.9,63,2,47.2,82.5,13.1,6.55,https://www.wikidata.org/wiki/Q2798,https://www.udinese.it/eng
SD Huesca,LaLiga,34,10.7,68,2,48.7,79.8,15.7,6.55,https://www.wikidata.org/wiki/Q11971,https://www.sdhuesca.es/
Athletic Bilbao,LaLiga,46,10.6,81,3,49.4,78.5,17.9,6.54,https://www.wikidata.org/wiki/Q8687,https://www.athletic-club.eus/en/
Osasuna,LaLiga,37,9.8,74,5,44.6,70.2,26.8,6.54,https://www.wikidata.org/wiki/Q10286,https://www.osasuna.es/en
Lorient,Ligue 1,50,11.2,67,3,45.9,78.8,13.7,6.54,https://www.wikidata.org/wiki/Q48911,https://www.fclorient.bzh/
Genoa,Serie A,47,9,85,2,46.1,79.7,13.7,6.54,https://www.wikidata.org/wiki/Q2074,https://genoacfc.it/
Arminia Bielefeld,Bundesliga,26,9.8,52,1,44.1,74.6,22.2,6.53,https://www.wikidata.org/wiki/Q105844,https://www.arminia.de/
Angers,Ligue 1,40,10.7,63,2,47.1,81.3,13.2,6.53,https://www.wikidata.org/wiki/Q845137,https://angers-sco.fr/
Eibar,LaLiga,29,11.9,67,3,49.2,72.6,24.4,6.53,https://www.wikidata.org/wiki/Q770740,https://www.sdeibar.com/en
Werder Bremen,Bundesliga,36,10.6,63,3,45.2,76.2,18.3,6.52,https://www.wikidata.org/wiki/Q51976,https://www.werder.de/en
Fiorentina,Serie A,47,9.8,86,5,46.8,81,14.2,6.52,https://www.wikidata.org/wiki/Q2052,https://www.acffiorentina.com/en
Nimes,Ligue 1,40,10.3,57,5,45.8,77.5,14,6.52,https://www.wikidata.org/wiki/Q730809,http://www.nimes-olympique.com/
West Bromwich Albion,Premier League,35,8.9,51,4,41,72.2,19.1,6.51,https://www.wikidata.org/wiki/Q18744,https://www.wba.co.uk/
FC Koln,Bundesliga,34,10.6,62,1,47.1,77.3,18.5,6.51,https://www.wikidata.org/wiki/Q104770,https://fc.de/en
Deportivo Alaves,LaLiga,36,9.1,87,8,44.6,72.9,22.6,6.5,https://www.wikidata.org/wiki/Q223620,https://www.deportivoalaves.com/es/
Levante,LaLiga,46,10.1,70,1,51.5,80.1,12.2,6.5,https://www.wikidata.org/wiki/Q8823,https://www.levanteud.com/en
Spezia,Serie A,52,10.2,92,5,51.6,81.1,14.4,6.5,https://www.wikidata.org/wiki/Q8615,https://www.speziacalcio.com/en/home.html
Getafe,LaLiga,28,9.5,117,7,44.4,66.5,22.8,6.49,https://www.wikidata.org/wiki/Q8806,https://www.getafecf.com/en
Parma Calcio 1913,Serie A,39,10.4,91,1,48.4,82.5,16.9,6.49,https://www.wikidata.org/wiki/Q2693,https://www.parmacalcio1913.com/en/
Elche,LaLiga,34,7.1,95,3,48.1,81.5,13.2,6.48,https://www.wikidata.org/wiki/Q10512,https://www.elchecf.es/
Granada,LaLiga,47,9.4,96,6,43.4,70,18.3,6.47,https://www.wikidata.org/wiki/Q8812,https://www.granadacf.es/
Cadiz,LaLiga,36,8,77,3,38.5,68.8,18.5,6.47,https://www.wikidata.org/wiki/Q460448,https://www.cadizcf.com/en
Real Valladolid,LaLiga,34,9.7,93,4,46.2,74.8,17.1,6.46,https://www.wikidata.org/wiki/Q10319,https://www.realvalladolid.es/
Sheffield United,Premier League,20,8.5,73,3,43,76.9,19.1,6.46,https://www.wikidata.org/wiki/Q19607,https://www.sufc.co.uk/
Crotone,Serie A,45,9.5,85,4,47.2,80.4,12.7,6.43,https://www.wikidata.org/wiki/Q6690,https://www.fccrotone.it/
Benevento,Serie A,40,11,90,5,44.2,77.7,13.4,6.43,https://www.wikidata.org/wiki/Q652516,https://www.beneventocalcio.club/
Dijon,Ligue 1,25,9.2,75,5,46.9,80,14.3,6.42,https://www.wikidata.org/wiki/Q503317,https://www.dfco.fr/
Schalke 04,Bundesliga,25,8.9,70,2,46.2,76.5,15.6,6.41,https://www.wikidata.org/wiki/Q32494,https://schalke04.de/en/
