min_salary,max_salary,vacany,description,min_expense,max_expense
5400.0,9600.0,2,Research & Consulting Services,10800.0,9602.0
2700.0,3600.0,0,Technology Distributors,0.0,3600.0
1200.0,3600.0,0,Life Sciences Tools & Services,0.0,3600.0
21600.0,27600.0,1,IT Consulting & Other Services,21600.0,27601.0
9600.0,21600.0,1,Research & Consulting Services,9600.0,21601.0
5400.0,11400.0,0,Research & Consulting Services,0.0,11400.0
1200.0,6000.0,1,IT Consulting & Other Services,1200.0,6001.0
9600.0,16800.0,0,Systems Software,0.0,16800.0
3000.0,5700.0,1,Personal Products,3000.0,5701.0
12000.0,24000.0,0,IT Consulting & Other Services,0.0,24000.0
4800.0,8400.0,0,Advertising,0.0,8400.0
6000.0,10800.0,1,Application Software,6000.0,10801.0
3600.0,6000.0,18,Application Software,64800.0,6018.0
12000.0,18000.0,1,Application Software,12000.0,18001.0
600.0,2400.0,1,Human Resource & Employment Services,600.0,2401.0
6000.0,12000.0,0,Integrated Telecommunication Services,0.0,12000.0
2700.0,4200.0,3,Research & Consulting Services,8100.0,4203.0
1500.0,1800.0,0,IT Consulting & Other Services,0.0,1800.0
1500.0,1800.0,0,Human Resource & Employment Services,0.0,1800.0
3600.0,9600.0,2,Systems Software,7200.0,9602.0
7200.0,13200.0,1,Application Software,7200.0,13201.0
7200.0,15600.0,0,IT Consulting & Other Services,0.0,15600.0
10800.0,18000.0,0,Application Software,0.0,18000.0
21600.0,30000.0,0,Steel,0.0,30000.0
3600.0,8400.0,0,Health Care Services,0.0,8400.0
2400.0,4800.0,20,Life Sciences Tools & Services,48000.0,4820.0
3000.0,5100.0,1,IT Consulting & Other Services,3000.0,5101.0
10800.0,14400.0,1,Application Software,10800.0,14401.0
3600.0,9600.0,0,Systems Software,0.0,9600.0
12000.0,18000.0,1,Life Sciences Tools & Services,12000.0,18001.0
2400.0,3600.0,5,Health Care Services,12000.0,3605.0
15600.0,19200.0,0,Systems Software,0.0,19200.0
7200.0,14400.0,0,Human Resource & Employment Services,0.0,14400.0
13200.0,19200.0,1,Research & Consulting Services,13200.0,19201.0
12000.0,24000.0,0,Systems Software,0.0,24000.0
4800.0,8400.0,0,Data Processing & Outsourced Services,0.0,8400.0
3600.0,5700.0,2,Construction & Engineering,7200.0,5702.0
2700.0,3600.0,0,"Technology Hardware, Storage & Peripherals",0.0,3600.0
1200.0,1800.0,0,Human Resource & Employment Services,0.0,1800.0
4500.0,10200.0,6,Systems Software,27000.0,10206.0
2400.0,3600.0,200,Data Processing & Outsourced Services,480000.0,3800.0
5400.0,6600.0,2,Health Care Technology,10800.0,6602.0
4800.0,10200.0,0,Life Sciences Tools & Services,0.0,10200.0
9600.0,12000.0,0,Data Processing & Outsourced Services,0.0,12000.0
12000.0,21600.0,1,Systems Software,12000.0,21601.0
8400.0,13200.0,1,Communications Equipment,8400.0,13201.0
1800.0,4800.0,0,Diversified Support Services,0.0,4800.0
6000.0,10800.0,1,Systems Software,6000.0,10801.0
3000.0,4800.0,10,Regional Banks,30000.0,4810.0
19200.0,30000.0,0,Systems Software,0.0,30000.0
4800.0,9600.0,1,Auto Parts & Equipment,4800.0,9601.0
2400.0,4500.0,0,Internet & Direct Marketing Retail,0.0,4500.0
2700.0,8700.0,0,Systems Software,0.0,8700.0
600.0,600.0,1,Research & Consulting Services,600.0,601.0
2700.0,3600.0,0,Construction & Engineering,0.0,3600.0
9600.0,18000.0,0,Human Resource & Employment Services,0.0,18000.0
1200.0,6000.0,1,Integrated Telecommunication Services,1200.0,6001.0
1200.0,2700.0,0,Data Processing & Outsourced Services,0.0,2700.0
13200.0,18000.0,1,Investment Banking & Brokerage,13200.0,18001.0
8400.0,13200.0,1,Systems Software,8400.0,13201.0
3000.0,4200.0,0,IT Consulting & Other Services,0.0,4200.0
14400.0,20400.0,1,Data Processing & Outsourced Services,14400.0,20401.0
1200.0,3600.0,0,Human Resource & Employment Services,0.0,3600.0
1800.0,2400.0,0,Health Care Technology,0.0,2400.0
600.0,1200.0,1,Technology Distributors,600.0,1201.0
6000.0,18000.0,5,Systems Software,30000.0,18005.0
2100.0,4200.0,25,Property & Casualty Insurance,52500.0,4225.0
1200.0,2400.0,1,Health Care Technology,1200.0,2401.0
1200.0,2700.0,1,Technology Distributors,1200.0,2701.0
6000.0,14400.0,0,Systems Software,0.0,14400.0
16800.0,22800.0,1,Systems Software,16800.0,22801.0
2400.0,3600.0,0,IT Consulting & Other Services,0.0,3600.0
6000.0,9600.0,2,Research & Consulting Services,12000.0,9602.0
7200.0,13200.0,1,Communications Equipment,7200.0,13201.0
8400.0,14400.0,0,Systems Software,0.0,14400.0
9600.0,14400.0,0,Systems Software,0.0,14400.0
8400.0,13200.0,1,Systems Software,8400.0,13201.0
13200.0,18000.0,1,IT Consulting & Other Services,13200.0,18001.0
22800.0,28800.0,1,Research & Consulting Services,22800.0,28801.0
6000.0,18000.0,0,Systems Software,0.0,18000.0
14400.0,26400.0,0,Investment Banking & Brokerage,0.0,26400.0
19200.0,30000.0,0,Systems Software,0.0,30000.0
6000.0,12000.0,22,Construction & Engineering,132000.0,12022.0
8400.0,12000.0,0,Construction & Engineering,0.0,12000.0
8400.0,13200.0,1,Research & Consulting Services,8400.0,13201.0
4800.0,9600.0,4,Systems Software,19200.0,9604.0
7200.0,19200.0,1,Application Software,7200.0,19201.0
14400.0,16800.0,0,Systems Software,0.0,16800.0
600.0,3600.0,0,Regional Banks,0.0,3600.0
3600.0,8400.0,0,Research & Consulting Services,0.0,8400.0
2400.0,4800.0,3,Technology Distributors,7200.0,4803.0
7200.0,12000.0,1,Systems Software,7200.0,12001.0
12000.0,18000.0,1,Application Software,12000.0,18001.0
4800.0,9600.0,1,Systems Software,4800.0,9601.0
9600.0,14400.0,1,IT Consulting & Other Services,9600.0,14401.0
9600.0,16800.0,0,IT Consulting & Other Services,0.0,16800.0
9600.0,16800.0,0,Systems Software,0.0,16800.0
14400.0,19200.0,1,Systems Software,14400.0,19201.0
2100.0,2400.0,0,Regional Banks,0.0,2400.0
6000.0,12000.0,0,Systems Software,0.0,12000.0
10800.0,18000.0,0,Systems Software,0.0,18000.0
6000.0,10800.0,0,Systems Software,0.0,10800.0
9600.0,21600.0,0,IT Consulting & Other Services,0.0,21600.0
8400.0,18000.0,1,IT Consulting & Other Services,8400.0,18001.0
6000.0,8400.0,1,"Hotels, Resorts & Cruise Lines",6000.0,8401.0
1200.0,7200.0,0,Systems Software,0.0,7200.0
9600.0,10200.0,0,Application Software,0.0,10200.0
14400.0,21600.0,0,Life Sciences Tools & Services,0.0,21600.0
10800.0,20400.0,0,Systems Software,0.0,20400.0
2400.0,6000.0,0,Health Care Technology,0.0,6000.0
8400.0,12000.0,0,Systems Software,0.0,12000.0
3000.0,6000.0,6,Research & Consulting Services,18000.0,6006.0
21600.0,36000.0,1,Systems Software,21600.0,36001.0
4800.0,10800.0,2,Systems Software,9600.0,10802.0
18000.0,24000.0,0,Communications Equipment,0.0,24000.0
4800.0,10800.0,0,Systems Software,0.0,10800.0
15600.0,24000.0,0,Systems Software,0.0,24000.0
9600.0,14400.0,1,Application Software,9600.0,14401.0
2400.0,5700.0,1,IT Consulting & Other Services,2400.0,5701.0
600.0,3600.0,0,Systems Software,0.0,3600.0
3600.0,4200.0,4,Auto Parts & Equipment,14400.0,4204.0
18000.0,24000.0,1,Systems Software,18000.0,24001.0
2700.0,4200.0,10,Data Processing & Outsourced Services,27000.0,4210.0
30000.0,42000.0,0,IT Consulting & Other Services,0.0,42000.0
600.0,1500.0,0,Systems Software,0.0,1500.0
14400.0,22800.0,1,Life Sciences Tools & Services,14400.0,22801.0
2400.0,7200.0,1,IT Consulting & Other Services,2400.0,7201.0
9600.0,21600.0,50,Systems Software,480000.0,21650.0
8400.0,13200.0,1,Systems Software,8400.0,13201.0
2100.0,3600.0,3,Advertising,6300.0,3603.0
2400.0,7200.0,1,Research & Consulting Services,2400.0,7201.0
1200.0,4200.0,75,Data Processing & Outsourced Services,90000.0,4275.0
1200.0,2400.0,0,Application Software,0.0,2400.0
3600.0,7200.0,1,IT Consulting & Other Services,3600.0,7201.0
12000.0,15600.0,0,Construction & Engineering,0.0,15600.0
9600.0,16800.0,0,Systems Software,0.0,16800.0
2400.0,4800.0,0,Systems Software,0.0,4800.0
5100.0,8400.0,0,Steel,0.0,8400.0
3600.0,5400.0,0,Data Processing & Outsourced Services,0.0,5400.0
2400.0,7200.0,0,Internet & Direct Marketing Retail,0.0,7200.0
8400.0,15600.0,1,IT Consulting & Other Services,8400.0,15601.0
600.0,600.0,100,Application Software,60000.0,700.0
8400.0,10800.0,1,Technology Distributors,8400.0,10801.0
1800.0,2400.0,0,Steel,0.0,2400.0
2400.0,3600.0,1,IT Consulting & Other Services,2400.0,3601.0
19200.0,37200.0,0,IT Consulting & Other Services,0.0,37200.0
4800.0,10800.0,8,Health Care Services,38400.0,10808.0
18000.0,24000.0,0,Systems Software,0.0,24000.0
4200.0,6000.0,0,Human Resource & Employment Services,0.0,6000.0
4800.0,7800.0,4,Technology Distributors,19200.0,7804.0
12000.0,16800.0,1,Communications Equipment,12000.0,16801.0
1500.0,7200.0,0,Research & Consulting Services,0.0,7200.0
9600.0,19200.0,1,Systems Software,9600.0,19201.0
8400.0,14400.0,0,Life Sciences Tools & Services,0.0,14400.0
6000.0,14400.0,4,Application Software,24000.0,14404.0
8400.0,14400.0,1,Systems Software,8400.0,14401.0
12000.0,24000.0,1,Specialty Chemicals,12000.0,24001.0
14400.0,21600.0,0,Application Software,0.0,21600.0
600.0,720.0,0,Regional Banks,0.0,720.0
1200.0,3300.0,0,Systems Software,0.0,3300.0
2400.0,4800.0,200,Data Processing & Outsourced Services,480000.0,5000.0
600.0,840.0,0,Health Care Technology,0.0,840.0
9600.0,14400.0,0,Diversified Metals & Mining,0.0,14400.0
1200.0,6000.0,0,Systems Software,0.0,6000.0
1800.0,2100.0,500,Data Processing & Outsourced Services,900000.0,2600.0
9600.0,14400.0,1,IT Consulting & Other Services,9600.0,14401.0
7200.0,19200.0,0,Application Software,0.0,19200.0
600.0,3600.0,0,Systems Software,0.0,3600.0
14400.0,25200.0,1,IT Consulting & Other Services,14400.0,25201.0
9600.0,16800.0,0,Advertising,0.0,16800.0
6000.0,18000.0,0,Systems Software,0.0,18000.0
10800.0,14400.0,1,Health Care Technology,10800.0,14401.0
3000.0,4800.0,400,Health Care Services,1200000.0,5200.0
3000.0,4200.0,0,Health Care Technology,0.0,4200.0
18000.0,20400.0,0,Systems Software,0.0,20400.0
18000.0,19200.0,0,Construction & Engineering,0.0,19200.0
4800.0,9600.0,1,IT Consulting & Other Services,4800.0,9601.0
4800.0,9000.0,0,Technology Distributors,0.0,9000.0
2100.0,3900.0,10,Data Processing & Outsourced Services,21000.0,3910.0
